,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,27.0,28.0,27.5,7.4,7.4,7.4,877,888,883,0.7,0.7,0.7,0.4,0.5,0.4,,,,,,
1,31.0,33.0,32.0,6.9,7.4,7.2,656,864,760,0.3,1.5,0.9,0.3,0.5,0.4,,,,,,
2,35.0,35.0,35.0,7.1,7.3,7.2,2140,2170,2155,2.8,3.2,3.0,0.0,0.0,0.0,,,,,,
3,27.0,28.0,27.5,7.5,8.3,7.9,572,672,622,0.7,1.3,1.0,0.1,0.4,0.2,0.0,0.0,0.0,1.0,1.0,1.0
4,28.0,28.0,28.0,7.1,8.0,7.5,696,867,782,0.5,1.0,0.8,0.1,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0
5,28.0,29.0,28.5,7.5,7.8,7.6,1943,2146,2045,0.6,2.0,1.3,0.0,0.1,0.1,,,,,,
6,28.0,29.0,28.5,7.3,7.5,7.4,1680,1777,1729,0.4,1.6,1.0,0.0,0.0,0.0,,,,,,
7,27.0,28.0,27.5,7.2,7.3,7.3,1815,1833,1824,0.7,1.5,1.1,0.0,0.1,0.1,,,,,,
8,27.0,28.0,27.5,7.3,7.5,7.4,1209,1231,1220,0.4,1.0,0.7,0.0,0.0,0.0,,,,,,
9,27.0,28.0,27.5,7.7,7.8,7.7,852,926,889,0.3,1.0,0.7,0.1,0.6,0.3,7.0,7.0,7.0,9.0,9.0,9.0
